Date,Precipitation,Visibility,Traffic_Density,Probability,Risk_Level
2026-06-17,4.5,7.2,0.8,0.785,High Risk
2026-06-18,4.5,7.2,0.8,0.785,High Risk
2026-06-18T10:27:38.466164,5.0,5.0,0.8,0.945,High Risk
2026-06-18T10:28:09.824892,0.0,8.0,0.0,0.125,Low Risk
2026-06-18,0.0,15.0,0.85,0.315,Low Risk
2026-06-18,0.0,15.0,0.85,0.315,Low Risk
2026-06-19,0.0,14.4,0.85,0.405,Medium Risk
2026-06-19,0.0,15.0,0.85,0.395,Low Risk
2026-06-19,0.0,15.0,0.85,0.395,Low Risk
2026-06-20,0.0,12.0,0.4,0.0,Low Risk
2026-06-21,0.0,15.0,0.4,0.02,Low Risk
2026-06-22,0.0,15.0,0.85,0.395,Low Risk
2026-06-23,0.0,15.0,0.4,0.02,Low Risk
